contrast,ka,pol,rep,l2,linf,cost_s,status
weak,0.05,P,born,4.73376347e-04,5.89361628e-10,0.001578,ok
weak,0.05,P,eshelby,3.19623470e-04,3.70395087e-10,0.002220,ok
weak,0.05,P,t9,3.84627851e-04,4.74270774e-10,0.021093,ok
weak,0.05,SV,born,,,,undefined_for_incidence
weak,0.05,SV,eshelby,,,,undefined_for_incidence
weak,0.05,SV,t9,,,,undefined_for_incidence
weak,0.05,SH,born,,,,undefined_for_incidence
weak,0.05,SH,eshelby,,,,undefined_for_incidence
weak,0.05,SH,t9,,,,undefined_for_incidence
weak,0.1,P,born,2.09009414e-03,1.07667685e-08,0.001611,ok
weak,0.1,P,eshelby,1.45627630e-03,5.72054830e-09,0.002376,ok
weak,0.1,P,t9,1.80171288e-03,9.27100001e-09,0.020550,ok
weak,0.1,SV,born,,,,undefined_for_incidence
weak,0.1,SV,eshelby,,,,undefined_for_incidence
weak,0.1,SV,t9,,,,undefined_for_incidence
weak,0.1,SH,born,,,,undefined_for_incidence
weak,0.1,SH,eshelby,,,,undefined_for_incidence
weak,0.1,SH,t9,,,,undefined_for_incidence
weak,0.3,P,born,1.86637928e-02,8.51501103e-07,0.001579,ok
weak,0.3,P,eshelby,1.31581654e-02,4.59903885e-07,0.002301,ok
weak,0.3,P,t9,1.62458082e-02,7.39299666e-07,0.021086,ok
weak,0.3,SV,born,,,,undefined_for_incidence
weak,0.3,SV,eshelby,,,,undefined_for_incidence
weak,0.3,SV,t9,,,,undefined_for_incidence
weak,0.3,SH,born,,,,undefined_for_incidence
weak,0.3,SH,eshelby,,,,undefined_for_incidence
weak,0.3,SH,t9,,,,undefined_for_incidence
weak,0.5,P,born,5.28664383e-02,6.47875390e-06,0.001542,ok
weak,0.5,P,eshelby,3.73029215e-02,3.50015761e-06,0.002231,ok
weak,0.5,P,t9,4.60011529e-02,5.62093798e-06,0.020320,ok
weak,0.5,SV,born,,,,undefined_for_incidence
weak,0.5,SV,eshelby,,,,undefined_for_incidence
weak,0.5,SV,t9,,,,undefined_for_incidence
weak,0.5,SH,born,,,,undefined_for_incidence
weak,0.5,SH,eshelby,,,,undefined_for_incidence
weak,0.5,SH,t9,,,,undefined_for_incidence
moderate,0.05,P,born,3.42735639e-02,1.29128703e-05,0.001532,ok
moderate,0.05,P,eshelby,1.04997822e-03,6.87627836e-07,0.002207,ok
moderate,0.05,P,t9,4.70123503e-03,1.85483422e-06,0.020271,ok
moderate,0.05,SV,born,,,,undefined_for_incidence
moderate,0.05,SV,eshelby,,,,undefined_for_incidence
moderate,0.05,SV,t9,,,,undefined_for_incidence
moderate,0.05,SH,born,,,,undefined_for_incidence
moderate,0.05,SH,eshelby,,,,undefined_for_incidence
moderate,0.05,SH,t9,,,,undefined_for_incidence
moderate,0.1,P,born,3.54559705e-02,5.56984942e-05,0.001596,ok
moderate,0.1,P,eshelby,1.72514416e-03,4.87914796e-06,0.002305,ok
moderate,0.1,P,t9,5.91845065e-03,1.12173433e-05,0.020870,ok
moderate,0.1,SV,born,,,,undefined_for_incidence
moderate,0.1,SV,eshelby,,,,undefined_for_incidence
moderate,0.1,SV,t9,,,,undefined_for_incidence
moderate,0.1,SH,born,,,,undefined_for_incidence
moderate,0.1,SH,eshelby,,,,undefined_for_incidence
moderate,0.1,SH,t9,,,,undefined_for_incidence
moderate,0.3,P,born,4.90206611e-02,8.66915815e-04,0.001608,ok
moderate,0.3,P,eshelby,1.27946444e-02,2.50303779e-04,0.002306,ok
moderate,0.3,P,t9,2.02758637e-02,4.42753518e-04,0.020874,ok
moderate,0.3,SV,born,,,,undefined_for_incidence
moderate,0.3,SV,eshelby,,,,undefined_for_incidence
moderate,0.3,SV,t9,,,,undefined_for_incidence
moderate,0.3,SH,born,,,,undefined_for_incidence
moderate,0.3,SH,eshelby,,,,undefined_for_incidence
moderate,0.3,SH,t9,,,,undefined_for_incidence
moderate,0.5,P,born,7.99537399e-02,4.40559633e-03,0.001622,ok
moderate,0.5,P,eshelby,3.63253197e-02,1.83023092e-03,0.002304,ok
moderate,0.5,P,t9,5.06892781e-02,3.09520890e-03,0.020509,ok
moderate,0.5,SV,born,,,,undefined_for_incidence
moderate,0.5,SV,eshelby,,,,undefined_for_incidence
moderate,0.5,SV,t9,,,,undefined_for_incidence
moderate,0.5,SH,born,,,,undefined_for_incidence
moderate,0.5,SH,eshelby,,,,undefined_for_incidence
moderate,0.5,SH,t9,,,,undefined_for_incidence
strong_neg,0.05,P,born,1.72631876e-03,6.98744942e-06,0.001686,ok
strong_neg,0.05,P,eshelby,7.78262112e-05,3.15612678e-07,0.002412,ok
strong_neg,0.05,P,t9,2.02496549e-04,1.05230893e-06,0.021945,ok
strong_neg,0.05,SV,born,,,,undefined_for_incidence
strong_neg,0.05,SV,eshelby,,,,undefined_for_incidence
strong_neg,0.05,SV,t9,,,,undefined_for_incidence
strong_neg,0.05,SH,born,,,,undefined_for_incidence
strong_neg,0.05,SH,eshelby,,,,undefined_for_incidence
strong_neg,0.05,SH,t9,,,,undefined_for_incidence
strong_neg,0.1,P,born,4.13961829e-03,5.83082268e-05,0.001582,ok
strong_neg,0.1,P,eshelby,4.80657756e-04,7.28165805e-06,0.002265,ok
strong_neg,0.1,P,t9,9.55861610e-04,1.67292110e-05,0.020517,ok
strong_neg,0.1,SV,born,,,,undefined_for_incidence
strong_neg,0.1,SV,eshelby,,,,undefined_for_incidence
strong_neg,0.1,SV,t9,,,,undefined_for_incidence
strong_neg,0.1,SH,born,,,,undefined_for_incidence
strong_neg,0.1,SH,eshelby,,,,undefined_for_incidence
strong_neg,0.1,SH,t9,,,,undefined_for_incidence
strong_neg,0.3,P,born,3.70453326e-02,5.48058565e-03,0.001571,ok
strong_neg,0.3,P,eshelby,3.20344439e-03,4.85566515e-04,0.002289,ok
strong_neg,0.3,P,t9,9.97757343e-03,1.59149128e-03,0.020453,ok
strong_neg,0.3,SV,born,,,,undefined_for_incidence
strong_neg,0.3,SV,eshelby,,,,undefined_for_incidence
strong_neg,0.3,SV,t9,,,,undefined_for_incidence
strong_neg,0.3,SH,born,,,,undefined_for_incidence
strong_neg,0.3,SH,eshelby,,,,undefined_for_incidence
strong_neg,0.3,SH,t9,,,,undefined_for_incidence
strong_neg,0.5,P,born,1.02434743e-01,4.04669669e-02,0.001600,ok
strong_neg,0.5,P,eshelby,4.13489650e-03,1.93379622e-03,0.002311,ok
strong_neg,0.5,P,t9,3.05188463e-02,1.37066228e-02,0.020896,ok
strong_neg,0.5,SV,born,,,,undefined_for_incidence
strong_neg,0.5,SV,eshelby,,,,undefined_for_incidence
strong_neg,0.5,SV,t9,,,,undefined_for_incidence
strong_neg,0.5,SH,born,,,,undefined_for_incidence
strong_neg,0.5,SH,eshelby,,,,undefined_for_incidence
strong_neg,0.5,SH,t9,,,,undefined_for_incidence
